source_path,output_path,label,caption,sha256,width_original,height_original,selected,rejection_reason
data/processed/train/intact/10.jpg,data/lora/train/images/intact_00001.jpg,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",a1ebba3c7a0a3b2ba3869f5b872fde6d0653def19a9c20361834e3593b00e350,227,227,True,
data/processed/train/intact/100.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1000.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1001.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1002.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1004.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1005.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1008.jpg,data/lora/train/images/intact_00002.jpg,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",70b32e6116b15a416d6567992500dba921553ba18f5376d01f584ae45cdfc6a6,227,227,True,
data/processed/train/intact/1009.jpg,data/lora/train/images/intact_00003.jpg,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",20a372f1021bfb0dbdc2a8df4be3e49296a94ae141ce2556baa1878c62543377,227,227,True,
data/processed/train/intact/1010.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1011.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1012.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1013.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1014.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1015.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1019.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1021.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1022.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1023.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1024.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1025.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1026.jpg,data/lora/train/images/intact_00004.jpg,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",fd18c7811bef14f8fa8cb4194c08a4c6e1a551fda59b8ac4165b86b92227b4f2,227,227,True,
data/processed/train/intact/1027.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1028.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1029.jpg,data/lora/train/images/intact_00005.jpg,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",daf212b87bc88676602454d8a1254f125d3889e455b4b4d2d47331fa9134f60e,227,227,True,
data/processed/train/intact/103.jpg,data/lora/train/images/intact_00006.jpg,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",6beccb25f2e46dce537fd2f9ce1c0f781ae73e0dc82ea71f438cee43b7f4a2e4,227,227,True,
data/processed/train/intact/1030.jpg,data/lora/train/images/intact_00007.jpg,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",cd91de43cc73dd343df07dcd61d1fcd91bb46a9d04aee0b4e1647d62ec434e8e,227,227,True,
data/processed/train/intact/1031.jpg,data/lora/train/images/intact_00008.jpg,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",8f887a452bd7f8f4c240c3c91a5b55d0dd2ee89f1bf6f975fecc905925784d55,227,227,True,
data/processed/train/intact/1032.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1033.jpg,data/lora/train/images/intact_00009.jpg,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",1e9a5ae8891393ccf4aa0b9e43ea1a7733be2e7f9cee740bd5da21b08e05a22f,227,227,True,
data/processed/train/intact/1035.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1036.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1037.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1038.jpg,,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",,,,False,not_selected_seed_limit
data/processed/train/intact/1039.jpg,data/lora/train/images/intact_00010.jpg,intact,"photo of a soyseed soybean seed, intact condition, clean surface, centered inspection photography",f5e8a1fdd8a894f4be09ac5f75a8554c50762a238d77af9b8c19b78cc14039f8,227,227,True,
