path,size_bytes,sha256,modified_time
docs/project_audit/DATASET_AUDIT.md,411,560c76e378d9fcc8244cf6e788670eafefcaca0612eac228585bab08837e4536,2026-07-14T02:15:58
docs/project_audit/ENVIRONMENT_AUDIT.md,277,dc298396278fd82d6e2f012a14be0d5add8a553de0629f6467d4a0e778c86982,2026-07-14T02:15:58
docs/project_audit/GIT_AND_GITHUB_AUDIT.md,2620,b080943c9cfbd503401de5f3ab38dd8dbd30e90cca24b72772c585c06f776369,2026-07-14T02:15:58
docs/project_audit/HOW_TO_RUN_PROJECT.md,1011,68e39c6c6266d30b11a5eae0ee6ec7d4961e58253dbf142f80f930f71d7a7267,2026-07-14T02:15:58
docs/project_audit/LORA_AUDIT.md,767,f180c7f0492d3a195aeedf48f9118c2654ff82302446401d7e3de994217f6632,2026-07-14T02:15:58
docs/project_audit/METRICS_AUDIT.md,3731,b6573722831c6f2e2e0365770deb6e8a23907b73e3da3511bfa48d98c47731e7,2026-07-14T02:15:58
docs/project_audit/PROJECT_AUDIT_FULL.md,7382,e7b4299c03652d805bd98a7cc5444af862449a23ad680a5284e58cab9323db04,2026-07-14T02:15:58
docs/project_audit/PROJECT_CONTEXT_FOR_CHATGPT.md,2608,e05029ea08ef00200d8f2e15225f25bc1d6cbc4845b047651238741dd169084a,2026-07-14T02:15:58
docs/project_audit/PROJECT_STRUCTURE_EXPLAINED.md,1157,cceb819f334ff355857ef9448541fdc57637f56c9128a1ebba8595895128cfd7,2026-07-14T02:15:58
docs/project_audit/PROJECT_STRUCTURE_TREE.txt,12486,8b045040e0fc6a2d3a1b2c8d9d46a24be16617c0ce78264dc32814f48845d917,2026-07-14T02:15:35
docs/project_audit/RAG_AUDIT.md,365,ba6a41c046573820513e77ed6951210c9a3ed81a3eec34f44f2de7ecaf3e470c,2026-07-14T02:15:58
docs/project_audit/RISKS_AND_LIMITATIONS.md,914,074beae05c79e330f7f8b6291d7fb75d6fac63a7e3cb8c058cf4a885698c985d,2026-07-14T02:15:58
docs/project_audit/STREAMLIT_APPLICATION.md,539,8a4d06e4f52808b4cb6de91937326106b48fc520e13ca1170027697452a9049c,2026-07-14T02:15:58
docs/project_audit/SYSTEM_ARCHITECTURE.md,1404,389f83bf3f8df398f9ef5070d2cefa39e55d837df619d4f86337e338b5332972,2026-07-14T02:15:58
docs/project_audit/TEST_AUDIT.md,387,b6442f27ae7616068a1bf971a9ef94bb38c554f8b35b528256c0656e94dbdbe4,2026-07-14T02:15:58
docs/project_audit/VISION_MODEL_AUDIT.md,599,124cd74bb5c2903ccd3bcb2a2cf5bc202d00c43cb3df29ec8f7dc8e563f00b27,2026-07-14T02:15:58
results/project_audit/classifier_rag_lora_comparison.png,46375,6b288cfcc2892aac68f253568107247e717c6906ce8134bef653180f4484d60b,2026-07-14T02:15:56
