image_id,source_path,processed_path,label,split,sha256,is_synthetic,exclusion_status
broken_1,data/raw/soybean_seeds/broken/1.jpg,data/processed/train/broken/1.jpg,broken,train,edc8dbe5f391c3698d0b2439bce3c26087f783e17fc56411b1473562bf8341f3,False,included
broken_10,data/raw/soybean_seeds/broken/10.jpg,data/processed/test/broken/10.jpg,broken,test,6dd0a3c784bebfbdf474fa9089199f0e61e15a84e7ebaafd2034a9e8a8b29fd4,False,included
broken_100,data/raw/soybean_seeds/broken/100.jpg,data/processed/train/broken/100.jpg,broken,train,2b4bcad21593e80a15ff014c5fda6a2d530a33f8cfd7a13b8f2e754c1c4d4164,False,included
broken_1000,data/raw/soybean_seeds/broken/1000.jpg,data/processed/train/broken/1000.jpg,broken,train,d45b29011a48d8b828d9424baefe8f9f74486c6e7224721a39825f030ab30e63,False,included
broken_1001,data/raw/soybean_seeds/broken/1001.jpg,data/processed/train/broken/1001.jpg,broken,train,4f32ab9aad2f270743f98106916940669cfe88e2a29b90b215cab59f36cda797,False,included
broken_1002,data/raw/soybean_seeds/broken/1002.jpg,data/processed/train/broken/1002.jpg,broken,train,ed209818b608cb72b7ff68d6c39c71dbaa1225c1cca5be8a18d7909abd606e66,False,included
broken_101,data/raw/soybean_seeds/broken/101.jpg,data/processed/train/broken/101.jpg,broken,train,4a380746d984124d8928e27a83b4f29fff73c1cc2ee83c34984e5b7ddd37c6e6,False,included
broken_102,data/raw/soybean_seeds/broken/102.jpg,data/processed/train/broken/102.jpg,broken,train,f9db9e68ad3ff581eb4d6cf40c7f5d39c45e4c42dc6b339f4dcd8735e2c1f31f,False,included
broken_103,data/raw/soybean_seeds/broken/103.jpg,data/processed/train/broken/103.jpg,broken,train,191e20402221d7e5a1a0c4ce6befbe9ec52cd91b4d7b238f64a0735913a56240,False,included
broken_104,data/raw/soybean_seeds/broken/104.jpg,data/processed/train/broken/104.jpg,broken,train,0baf33ee79205c7f210e550bff82c77b7e66e70a92060d1df780f7e90c4830ae,False,included
broken_105,data/raw/soybean_seeds/broken/105.jpg,data/processed/train/broken/105.jpg,broken,train,f56f372c0e226622c4ac75d9f7d8c9a1ba7fe87f12803051965c1d8cd40f3b80,False,included
broken_106,data/raw/soybean_seeds/broken/106.jpg,data/processed/train/broken/106.jpg,broken,train,8542b8baed17cf8958aa65b96dc5236674eabfa42f60f639eb77c3acdf2ad1ab,False,included
broken_107,data/raw/soybean_seeds/broken/107.jpg,data/processed/train/broken/107.jpg,broken,train,077eac9f56434c9ea13a60d012b8d89854078faa55f228157efec3c4b4ffda5a,False,included
broken_108,data/raw/soybean_seeds/broken/108.jpg,data/processed/train/broken/108.jpg,broken,train,37f073e8f18e462e1d6993e8fb2faa93f2167495158abe46bc6e674b86ef48fe,False,included
broken_109,data/raw/soybean_seeds/broken/109.jpg,data/processed/train/broken/109.jpg,broken,train,56a71c27e250e4b4173a1b1e81df688fd8ebe22e93ab43ba93aa491c4062e8d5,False,included
broken_11,data/raw/soybean_seeds/broken/11.jpg,data/processed/train/broken/11.jpg,broken,train,80105a66058bf0a778ba97a11c9235d0c924582e4094ab45424c8e2f5ecec72a,False,included
broken_110,data/raw/soybean_seeds/broken/110.jpg,data/processed/test/broken/110.jpg,broken,test,92f5739189d01d5b1ae11c2e2a4b6d140bf2c16a0967cf350f0c159f28ec8160,False,included
broken_111,data/raw/soybean_seeds/broken/111.jpg,data/processed/train/broken/111.jpg,broken,train,1839534db8646f6be3282f81abe688f6f2314ec6c0f2c7c6673864d6a3d7403c,False,included
broken_112,data/raw/soybean_seeds/broken/112.jpg,data/processed/test/broken/112.jpg,broken,test,5f1d3c03a9e9b6e6b339e7bb406f2ad3385e674b481506f06a391540235e7ad6,False,included
broken_113,data/raw/soybean_seeds/broken/113.jpg,data/processed/train/broken/113.jpg,broken,train,ae05596fcc5af4b133379a1f391d109e055483f0b027e8a9300e14b2f6683c4c,False,included
broken_114,data/raw/soybean_seeds/broken/114.jpg,data/processed/train/broken/114.jpg,broken,train,383331a8702e0c35947f4b96ecdc77761df6c02a45b817010ea410a4f33769b5,False,included
broken_115,data/raw/soybean_seeds/broken/115.jpg,data/processed/train/broken/115.jpg,broken,train,2ec8ef180945ed2f9c70dd9103dd87854a679dfdbbe12d0acd1ced844c9cd87e,False,included
broken_116,data/raw/soybean_seeds/broken/116.jpg,data/processed/train/broken/116.jpg,broken,train,476e90a2574a0f6d07de75e20e3acd5c9ac0943cb1ffeeb8c7903dbc4bfcef99,False,included
broken_117,data/raw/soybean_seeds/broken/117.jpg,data/processed/train/broken/117.jpg,broken,train,ba9c1a99f78de8297fab6f7fd91d4627e87889126830ea500558af4a2e51d135,False,included
broken_118,data/raw/soybean_seeds/broken/118.jpg,data/processed/test/broken/118.jpg,broken,test,a3e421c359f82cd9c7e7e39568e7b1ac8cb8f08dd1ee473ebdae1a145eaf5098,False,included
broken_119,data/raw/soybean_seeds/broken/119.jpg,data/processed/train/broken/119.jpg,broken,train,1b529840be3efb89c863566cf76c59702e7d86d80c0636687e888ff7ac606daa,False,included
broken_12,data/raw/soybean_seeds/broken/12.jpg,data/processed/validation/broken/12.jpg,broken,validation,1f4189b964e81233b28c4fb7ccde3b20751da5356532b9f1da857b310251be0d,False,included
broken_120,data/raw/soybean_seeds/broken/120.jpg,data/processed/train/broken/120.jpg,broken,train,785455f82dc4c76e79d88099d512235e8a46049954083adfabd2a4be631c8a4a,False,included
broken_121,data/raw/soybean_seeds/broken/121.jpg,data/processed/validation/broken/121.jpg,broken,validation,4ac52bdd2cd0213e5c53b37fc98577d692d4b80f36b7a0a0137b47dac7665d65,False,included
broken_122,data/raw/soybean_seeds/broken/122.jpg,data/processed/train/broken/122.jpg,broken,train,838e143d072714208ea6ba4e374775598423c386db9bf106189dfcc29c666625,False,included
broken_123,data/raw/soybean_seeds/broken/123.jpg,data/processed/train/broken/123.jpg,broken,train,6611a9808eb495a2f37aa35310ae7e6df807e50811562afb7a21ed258520817c,False,included
broken_124,data/raw/soybean_seeds/broken/124.jpg,data/processed/train/broken/124.jpg,broken,train,af40b5649c4e4c30a56570a904883d27fc698cb53d475da3309497ef3b8aad63,False,included
broken_125,data/raw/soybean_seeds/broken/125.jpg,data/processed/train/broken/125.jpg,broken,train,bd0c40bce79586f7b82da430209d1081a7ccd862cffe1a0b64cb50dde2edde7b,False,included
broken_126,data/raw/soybean_seeds/broken/126.jpg,data/processed/test/broken/126.jpg,broken,test,e1b0e93f88c2fa48ecac855ac5d732f30676b5ed7964946fb8a272d4248ce6cf,False,included
broken_127,data/raw/soybean_seeds/broken/127.jpg,data/processed/validation/broken/127.jpg,broken,validation,b9e6c13f19a9e6f38df208ee2a189bd74fd9853b8a382d75632a5fc5a44279bd,False,included
broken_128,data/raw/soybean_seeds/broken/128.jpg,data/processed/train/broken/128.jpg,broken,train,96b1589fedae98479e10e3799b1478b01e9ed3e3709902cbd08afd364ab12760,False,included
broken_129,data/raw/soybean_seeds/broken/129.jpg,data/processed/train/broken/129.jpg,broken,train,258c39226d9bd7d33a952e8c8b35ce55534694fccd55f4057305bc087f1afd0d,False,included
broken_13,data/raw/soybean_seeds/broken/13.jpg,data/processed/train/broken/13.jpg,broken,train,14d08f962b054395f9463ba9b793586498af9571e921370a13a90299242f5e2d,False,included
broken_130,data/raw/soybean_seeds/broken/130.jpg,data/processed/test/broken/130.jpg,broken,test,34614a84881b48d3cfa7bf7af4b38a2b75b1ad32cfd47719bcdd4e34bbb70021,False,included
broken_131,data/raw/soybean_seeds/broken/131.jpg,data/processed/train/broken/131.jpg,broken,train,36d2860cc110153801c467b565a2c73c54bb70ce51584fc69bab2a0ed97cf3c6,False,included
broken_132,data/raw/soybean_seeds/broken/132.jpg,data/processed/train/broken/132.jpg,broken,train,7e3d7a61cecf00845e78a282f7ea7b295409b5dfcc7855f511689e40e4f5c4b1,False,included
broken_133,data/raw/soybean_seeds/broken/133.jpg,data/processed/train/broken/133.jpg,broken,train,758672dadd3cc169fd348391c105fce43d20b44f1190bd5a09b28a1ea38431ab,False,included
broken_134,data/raw/soybean_seeds/broken/134.jpg,data/processed/train/broken/134.jpg,broken,train,c7ff6458d6274b5c6b6d4e8dc6b867f41673e46098870a1fea2803b7a7abe4e5,False,included
broken_135,data/raw/soybean_seeds/broken/135.jpg,data/processed/train/broken/135.jpg,broken,train,18d692a3f6510fbd7ae6f48d437748ec4160a3c5241674f0373f272f04a2bb37,False,included
broken_136,data/raw/soybean_seeds/broken/136.jpg,data/processed/train/broken/136.jpg,broken,train,bdd8cdc62252fbeb97e7036c595e5761bf38d39d192386d5929e6a51aa4e64e4,False,included
broken_137,data/raw/soybean_seeds/broken/137.jpg,data/processed/train/broken/137.jpg,broken,train,8980905e1a8cd317584656e15e924add02ff2b044adf862ad0fe1a0a856c9220,False,included
broken_138,data/raw/soybean_seeds/broken/138.jpg,data/processed/train/broken/138.jpg,broken,train,fcff83cb2b88a15352fd34a257028119dbb2bbac4303b6c2c3a34a9cac54f853,False,included
broken_139,data/raw/soybean_seeds/broken/139.jpg,data/processed/train/broken/139.jpg,broken,train,b49259edbd5a5d87ab146ddf7d55033b799d0e9251e85b616cf22dedafb331f2,False,included
broken_14,data/raw/soybean_seeds/broken/14.jpg,data/processed/train/broken/14.jpg,broken,train,d7679cda286c344dce227684914351dffc57834eb44b5a074979874ff7fc924c,False,included
broken_140,data/raw/soybean_seeds/broken/140.jpg,data/processed/test/broken/140.jpg,broken,test,78bd4c44a67ad5b88b0c91b5fbf8268779b4814c6aadcf55e60c0b76156ff55f,False,included
